ax,ay,az,gx,gy,gz,activity
-4616,12836,-5484,-2078,208,-2669,1
-2416,13920,-3944,-407,-3495,-738,1
-1028,13628,-2500,-88,-4328,-89,1
264,13740,-2800,-991,-3835,938,1
252,12680,-4504,-2579,-1964,569,1
-444,11676,-6660,-3295,-534,-217,1
-1924,10688,-7404,-2756,-648,-985,1
-1992,10212,-7220,-1320,-2226,-1437,1
-1552,10884,-7452,-762,-2330,-1964,1
-1888,12992,-8252,-408,-1978,-2427,1
-2152,14056,-8144,-799,-1184,-2082,1
-2724,14944,-8136,-1032,-725,-2025,1
-3000,16040,-8084,-1319,-1277,-2980,1
-2340,16920,-7416,-2429,-237,-3153,1
-3008,17800,-7004,-3465,35,-2948,1
-3844,17716,-7528,-3453,-1154,-3488,1
-2600,19188,-10684,-3265,-1325,-4889,1
-2528,20488,-11048,-2275,483,-4746,1
-2768,22152,-7540,-1574,2256,-1137,1
-2092,21384,-764,-558,2535,4349,1
-1236,17632,384,-1015,1644,7187,1
-972,14320,-2336,-1207,525,8113,1
-1520,13900,-5496,299,2333,7718,1
-1876,14216,-7468,2532,3450,8702,1
-1044,13032,-8320,4380,3377,9915,1
336,12396,-8236,7855,2702,11504,1
548,13960,-7220,10559,533,12708,1
656,15412,-5952,12236,-1132,12561,1
708,15468,-6064,11872,-811,10981,1
180,13552,-5896,12273,-2246,8245,1
1024,14084,-6584,12956,-3009,6184,1
216,14316,-7072,13367,-4967,3622,1
-136,11080,-8596,16237,-7408,1959,1
2364,9148,-11444,21541,-7338,3557,1
4380,10556,-11068,22195,-4683,4997,1
4480,11016,-9024,17640,-1406,2705,1
3936,8492,-8232,14075,-216,-973,1
2688,6768,-8828,11163,3189,-2517,1
1300,5440,-9240,10100,4084,-3017,1
848,5884,-10440,9203,5454,-2841,1
1084,5704,-10592,6740,5359,-3052,1
1192,5160,-10616,3452,5266,-3106,1
612,3560,-9972,171,3805,-3137,1
1312,2652,-9584,-1604,382,-4307,1
1804,3500,-9400,-2724,-1909,-5475,1
3152,5104,-10472,-3336,-4194,-5655,1
4596,8088,-11456,-5081,-4793,-4868,1
